id,municipio,poblacion_total,poblacion_mayores,porcentaje_mayores
0,Total Nacional,47475420,9479010,19.969999999999999
01001,Alegría-Dulantzi,2960,360,12.16
01002,Amurrio,10281,2349,22.850000000000001
01003,Aramaio,1431,342,23.899999999999999
01004,Artziniega,1810,340,18.780000000000001
01006,Armiñón,235,34,14.470000000000001
01008,Arratzua-Ubarrundia,1031,223,21.629999999999999
01009,Asparrena,1637,336,20.530000000000001
01010,Ayala/Aiara,2921,529,18.109999999999999
01011,Baños de Ebro/Mañueta,296,76,25.68
01013,Barrundia,914,190,20.789999999999999
01014,Berantevilla,452,123,27.210000000000001
01016,Bernedo,560,152,27.140000000000001
01017,Campezo/Kanpezu,1094,262,23.949999999999999
01018,Zigoitia,1822,403,22.120000000000001
01019,Kripan,176,44,25
01020,Kuartango,421,108,25.649999999999999
01021,Elburgo/Burgelu,629,100,15.9
01022,Elciego,971,228,23.48
01023,Elvillar/Bilar,316,91,28.800000000000001
01027,Iruraiz-Gauna,537,99,18.440000000000001
01028,Labastida/Bastida,1538,312,20.289999999999999
01030,Lagrán,175,67,38.289999999999999
01031,Laguardia,1483,327,22.050000000000001
01032,Lanciego/Lantziego,724,173,23.899999999999999
01033,Lapuebla de Labarca,870,190,21.84
01034,Leza,217,59,27.190000000000001
01036,Laudio/Llodio,17906,4694,26.210000000000001
01037,Arraia-Maeztu,804,189,23.510000000000002
01039,Moreda de Álava/Moreda Araba,216,54,25
01041,Navaridas,200,45,22.5
01042,Okondo,1187,204,17.190000000000001
01043,Oyón-Oion,3408,560,16.43
01044,Peñacerrada-Urizaharra,310,58,18.710000000000001
01046,Erriberagoitia/Ribera Alta,820,160,19.510000000000002
01047,Erriberabeitia,1416,224,15.82
01049,Añana,156,43,27.559999999999999
01051,Agurain/Salvatierra,5069,901,17.77
01052,Samaniego,311,93,29.899999999999999
01053,San Millán/Donemiliaga,718,180,25.07
01054,Urkabustaiz,1408,212,15.06
01055,Valdegovía/Gaubea,1097,320,29.170000000000002
01056,Harana/Valle de Arana,226,84,37.170000000000002
01057,Villabuena de Álava/Eskuernaga,291,89,30.579999999999998
01058,Legutio,2017,363,18
01059,Vitoria-Gasteiz,253672,55736,21.969999999999999
01060,Yécora/Iekora,247,73,29.550000000000001
01061,Zalduondo,195,34,17.440000000000001
01062,Zambrana,425,101,23.760000000000002
01063,Zuia,2330,467,20.039999999999999
01901,Iruña Oka/Iruña de Oca,3551,449,12.640000000000001
01902,Lantarón,931,240,25.780000000000001
02001,Abengibre,739,247,33.420000000000002
02002,Alatoz,496,179,36.090000000000003
02003,Albacete,172357,29927,17.359999999999999
